36789,37168,36914,35519,36788,37292,36116,37879,36740,37704,35983,36895,34220,36544,37238,
36959,37352,37149,36762,37147,37947,38246,36380,35677,34995,37373,37401,36936,36251,35935,
35734,35866,35547,35261,35239,36794,34541,35079,36590,36191,35484,36749,36509,35968,35432,
36560,35742,34457,35169,35523,35148,36215,35793,35144,36947,34846,35545,34370,34716,35858,
35649,38182,35696,37317,37502,37629,38346,37046,36525,37174,37055,37707,36407,35207,39657,
35298,35584,34468,35066,34420,34867,36778,36316,37176,36460,35612,34558,35145,35336,36407,
33895,34184,35982,35903,33670,36191,34685,35665,35554,33359,34830,35271,35716,34522,33365,
34528,32830,33919,34585,34420,33755,32235,34575,34529,33648,33737,33855,34406,34177,34248,
36376,35788,36687,35769,35643,35967,37211,35035,35760,34966,37358,36420,36550,36241,37278,
34454,35021,34943,35102,34186,34302,35598,32598,34167,33963,33908,34225,34969,34757,33322,
33519,33684,34581,33261,33391,34277,35071,35321,31858,34069,34374,34590,34342,34010,30710,
32995,32794,32341,33003,32243,32269,32560,32818,31630,32639,32509,32421,31658,32622,32070,
34884,35336,35076,34666,34178,35351,33478,34062,34954,35520,35088,35631,34907,35100,35454,
33147,32439,32135,32699,32173,32204,32626,32957,32181,31773,32937,32471,32148,32412,33574,
29304,29634,28543,29485,29245,28983,28993,28052,28962,28049,28906,29259,28745,28770,
27812,27093,26940,26465,27351,27428,27065,27324,27418,27163,26967,26810,27294,27437,27396,
32390,31871,32455,32479,32017,30192,32031,31391,30832,31395,31965,32826,30827,32028,32266,
28163,28428,28037,29005,28878,29008,28534,28905,28253,28362,27475,27749,28143,28060,29202,
26530,26978,26130,26817,26471,25813,26559,26353,25989,26734,24871,24598,26331,26971,25615,
23088,22300,22820,22550,22642,22457,22553,22442,22710,22791,22361,22902,21545,22958,22831,
